artist,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov-dec
BTS,1188,1188,1114,1320,1135,1193,1492,1130,1185,1475,894
ENHYPEN,1022,1028,980,1278,998,1004,1336,1050,1099,1417,867
BLACKPINK,1008,1004,1027,1162,946,1014,1230,1058,1136,1319,781
STRAY KIDS,977,1058,1001,1213,947,958,1270,1019,1020,1273,755
TXT,976,1000,983,1286,944,967,1163,951,940,1312,800
TREASURE,1015,999,978,1228,968,933,1231,950,922,1212,752
TWICE,729,767,767,1159,1026,1112,1304,1022,1021,1360,839
SEVENTEEN,890,889,871,1177,925,954,1183,927,928,1295,809
ATEEZ,795,922,957,1178,908,908,1155,897,946,1213,780
EXO,883,844,929,1174,957,986,1189,871,829,1195,759
NCT 127,773,849,784,1040,834,871,1187,905,1071,1371,805
NCT DREAM,827,749,843,1141,1024,1010,1325,922,824,1065,748
JACKSON WANG,955,905,867,1176,889,842,1063,867,853,1162,693
NCT,810,883,848,1052,849,821,1098,858,793,1128,756
ASTRO,841,785,844,1168,793,764,1012,806,744,1033,675
MONSTA X,795,854,806,992,795,824,989,720,768,1037,667
RED VELVET,732,843,564,868,754,830,1067,1046,849,1020,599
ITZY,679,784,703,1013,850,693,937,673,818,1157,647
THE BOYZ,763,788,760,976,740,764,949,802,698,994,684
BAMBAM,588,792,811,947,713,807,905,646,785,1060,729
WAYV,687,709,850,825,680,588,865,839,627,784,584
MARK TUAN,671,917,707,727,585,623,728,573,606,1043,703
MAMAMOO,642,661,660,0,705,798,863,732,815,1017,598
AESPA,603,612,487,144,746,729,843,629,715,1236,713
IKON,458,573,673,813,641,730,768,650,582,745,428
BAEKHYUN,760,424,460,721,544,608,735,591,586,796,493
WONHO,500,638,628,680,504,462,673,481,559,817,501
CRAVITY,649,528,585,634,443,441,561,607,497,806,476
LOONA,516,469,480,580,435,610,808,498,506,771,510
(G)I-DLE,791,650,382,519,690,645,899,603,410,142,403
YOUNGJAE,427,549,200,563,522,514,661,497,602,905,499
JAY B,0,637,423,584,517,472,623,610,652,875,527
LAY ZHANG,428,460,472,672,478,518,606,436,430,790,506
SHINEE,489,752,743,0,487,382,710,357,563,776,446
SUPER JUNIOR,478,557,770,0,591,477,711,311,580,758,462
ONEUS,584,397,332,593,586,453,542,454,437,746,514
PENTAGON,555,463,544,757,379,488,340,509,469,699,310
B.I,0,0,332,652,659,710,691,313,578,864,462
DAY6,254,133,283,783,212,396,788,506,555,585,148
GOT7,1022,887,800,891,686,673,839,637,677,885,0
YUGYEOM,212,197,74,147,176,537,612,407,530,710,326
A.C.E,423,395,190,368,186,485,522,353,362,453,135
IZ*ONE,553,557,659,784,474,432,399,0,0,0,0
SF9,145,0,167,319,281,609,777,411,115,346,561
IU,414,415,367,332,401,155,333,206,374,610,0
GFRIEND,549,522,586,669,631,257,0,0,0,0,0
SECRET NUMBER,371,288,426,368,255,261,288,90,200,175,446
GIRLS' GENERATION,202,298,205,252,232,200,729,558,304,51,0
KANG DANIEL,324,523,210,635,93,85,303,0,394,228,127
BTOB,0,0,136,269,428,263,106,406,438,140,457
STAYC,0,0,0,308,130,0,0,272,526,749,495
DREAMCATCHER,359,413,196,0,150,0,337,447,144,154,157
NU'EST,272,97,235,576,138,0,0,0,0,616,381
SUPERM,226,172,395,339,303,196,92,351,83,0,0
GOLDEN CHILD,482,432,88,0,0,0,218,310,97,482,0
SUNMI,124,184,271,194,98,166,42,450,214,279,68
WEEEKLY,0,0,261,313,401,240,371,436,0,0,0
SOMI,0,41,178,276,49,0,0,342,184,322,173
WEI,139,296,345,0,89,395,79,0,0,0,0
AB6IX,368,96,0,113,0,0,0,0,0,511,0
VICTON,510,240,88,0,0,0,217,0,0,0,0
KEP1ER,0,0,0,0,0,0,0,0,0,205,712
APINK,132,42,274,269,139,41,0,0,0,0,0
YESUNG,0,0,0,144,87,134,270,153,0,0,0
BRAVE GIRLS,0,0,0,172,196,114,250,46,0,0,0
TVXQ!,492,107,118,0,0,0,0,0,0,0,0
OH MY GIRL,132,0,42,0,163,50,46,0,0,0,0
DRIPPIN,63,0,70,0,0,0,295,0,0,0,0
CHUNG HA,0,112,97,168,47,0,0,0,0,0,0
MOMOLAND,41,0,229,83,41,0,0,0,0,0,0
WINNER,0,0,130,159,88,0,0,0,0,0,0
HENRY LAU,0,168,85,0,0,0,44,0,0,0,0
BIGBANG,0,46,133,53,0,0,0,48,0,0,0
COSMIC GIRLS,0,0,0,0,255,0,0,0,0,0,0
KANG SEUNG YOON,0,0,0,209,40,0,0,0,0,0,0
PURPLE KISS,0,0,246,0,0,0,0,0,0,0,0
WOODZ,0,0,92,150,0,0,0,0,0,0,0
CIIPHER,0,0,96,0,0,0,0,0,0,0,0
MIRAE,0,0,81,0,0,0,0,0,0,0,0
BAE173,0,0,0,59,0,0,0,0,0,0,0
