artist,smi,cmb,index
BTS,899534278,13314,36.69
TREASURE,153589217,11188,8.49
BLACKPINK,135144792,11685,7.93
EXO,141323946,10616,7.89
ENHYPEN,130815823,12079,7.87
SEVENTEEN,107526781,10848,6.70
TXT,86995415,11322,6.06
STRAY KIDS,81733699,11491,5.90
ATEEZ,73310521,10659,5.38
NCT DREAM,70182649,10478,5.22
TWICE,65868405,11106,5.22
NCT 127,63834056,10490,4.99
THE BOYZ,57344573,8918,4.35
NCT,47108549,9896,4.22
BAMBAM,46181300,8783,3.91
JACKSON WANG,25582036,10272,3.52
GOT7,39482382,4452,3.46
RED VELVET,30002133,9172,3.40
MONSTA X,28715945,9247,3.38
ASTRO,23799906,9465,3.25
BAEKHYUN,35723520,6718,3.00
ITZY,17150809,8954,2.87
AESPA,22720639,7457,2.71
WAYV,17569892,8038,2.66
MARK TUAN,18019715,7883,2.64
IKON,21849588,7061,2.57
LAY ZHANG,29322785,5796,2.54
MAMAMOO,13565031,7491,2.37
JAY B,17481789,5920,2.13
WONHO,11869356,6443,2.05
CRAVITY,10236946,6227,1.94
LOONA,10619878,6183,1.94
SHINEE,13505684,5705,1.93
YOUNGJAE,10480056,5939,1.87
(G)I-DLE,7915603,6134,1.83
SUPER JUNIOR,8435943,5695,1.74
ONEUS,7735115,5638,1.70
B.I,9281361,5261,1.66
PENTAGON,5943975,5513,1.60
DAY6,7588034,4643,1.44
IZ*ONE,11265794,3858,1.38
YUGYEOM,8394093,3928,1.29
A.C.E,6038776,3872,1.19
IU,7772079,3607,1.19
SF9,5476258,3731,1.14
SECRET NUMBER,4965697,3168,0.98
GFRIEND,3844156,3214,0.95
KANG DANIEL,4142809,2922,0.88
GIRLS' GENERATION,2035176,3031,0.83
BTOB,2832783,2643,0.77
DREAMCATCHER,4082529,2357,0.74
STAYC,2127187,2480,0.70
GOLDEN CHILD,3062900,2109,0.64
NU'EST,1683649,2315,0.64
SUNMI,2483797,2090,0.61
SUPERM,1386449,2157,0.59
WEEEKLY,1719027,2022,0.57
SOMI,2121206,1565,0.47
WEI,2476799,1343,0.43
VICTON,1135038,1055,0.31
AB6IX,861831,1088,0.30
KEP1ER,1660213,917,0.29
APINK,350134,897,0.24
YESUNG,1154979,788,0.24
TVXQ!,1141933,717,0.22
BRAVE GIRLS,221393,778,0.20
CHUNG HA,608183,424,0.13
DRIPPIN,564373,428,0.13
WINNER,946217,377,0.13
BIGBANG,1262571,280,0.12
OH MY GIRL,340489,433,0.12
MOMOLAND,258994,394,0.11
HENRY LAU,702005,297,0.10
KANG SEUNG YOON,655244,249,0.09
PURPLE KISS,455504,246,0.08
WOODZ,441105,242,0.08
COSMIC GIRLS,205060,255,0.07
CIIPHER,138380,96,0.03
BAE173,102371,59,0.02
MIRAE,120864,81,0.02
