artist,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov-dec
BTS,42863898,61471751,78456137,104371815,177377205,84039602,94017087,70296712,80731982,60219292,45688797
TREASURE,14826712,15889405,18763953,18718943,17234364,10580440,14563401,13417124,9214485,12653735,7726655
EXO,8098446,9132125,16589258,13779819,23920355,26419405,16182883,7370709,6338136,8217858,5274952
BLACKPINK,9860855,10029904,21080730,12188829,19565397,8813804,11197478,13997691,13770780,10643305,3996019
ENHYPEN,7540979,10600136,10659876,14951313,10127412,9420308,12554316,9621111,10352811,25980847,9006714
SEVENTEEN,7528092,7824330,5374238,10776033,18024461,12794646,9470875,6664855,5321346,17413049,6334856
TXT,6336485,7370174,7935943,7253018,9453742,12599286,6988795,10897714,6654098,7381435,4124725
STRAY KIDS,4273610,6664629,7267631,6350491,6474425,6177183,12583486,14461155,8390091,5849189,3241809
ATEEZ,3350637,9743564,6149474,7375791,4256783,5162529,6868350,6664623,8926705,6934624,7877441
NCT DREAM,2246585,2359061,4304113,9463743,16062791,13797143,10492820,4722791,2101451,2086857,2545294
TWICE,2634485,4745481,3746843,5068231,7952261,11914865,6670564,5377738,3417644,8711863,5628430
NCT 127,2024764,3455044,3615171,3044957,3204997,3169761,5319855,5519031,15602569,13569925,5307982
THE BOYZ,3803607,5082400,3829231,7004069,3895165,6130660,5689738,8690199,4089884,4789814,4339806
NCT,4551882,7003673,3907359,5113947,3526493,3413086,4700570,5032487,2787772,3319919,3751361
BAMBAM,4144980,5187318,4467349,4529425,4045182,6864237,3273094,1988959,4019673,4720926,2940157
GOT7,6036699,7662023,3700555,3999302,3154108,3837065,2828578,2297445,2213205,2612521,1140881
BAEKHYUN,3896573,3422435,3336439,4867081,4153703,3218118,3672158,2303623,2991826,2771616,1089948
RED VELVET,1388816,3456924,1480879,3936322,3242526,2045116,2833825,7429705,2060018,1277320,850682
LAY ZHANG,2131480,2803450,2272226,3284324,4017315,3291357,2991513,2423277,1671008,3358175,1078660
MONSTA X,2673321,4205860,2384218,2815857,2685170,3924374,2222629,1434939,2011805,2346176,2011596
JACKSON WANG,2688595,2623599,5896289,3672823,1796617,1546539,1754012,1457285,1281037,1912908,952332
ASTRO,1571798,1953326,2658341,4684202,1573816,1353253,2721019,2877436,1259189,1731719,1415807
AESPA,1230092,1660097,975332,523923,3034956,1929192,1465340,1006408,1984343,7204396,1706560
IKON,1057272,6352396,4021179,2229226,1496644,1629456,1019571,1961397,1095555,516902,469990
MARK TUAN,0,4801366,1893056,1349977,1095952,1382693,929248,830805,1140586,2632162,1963870
WAYV,1315678,2721387,4029680,1154905,796423,1459735,916181,3077172,669591,850686,578454
JAY B,0,2760246,1042830,1588575,2119289,967686,1139526,2523225,2649431,1850540,840441
ITZY,1796081,1189884,1180746,2716670,1769383,922930,1144633,892006,2372893,2239864,925719
MAMAMOO,625170,991288,2098029,2571117,1310081,1619626,866597,821995,1378521,774213,508394
SHINEE,561814,3173010,1710520,1860589,1574982,690144,938965,608368,1127091,817952,442249
WONHO,698047,2288077,1816100,1196520,791589,620594,974202,807003,1257139,954118,465967
IZ*ONE,672975,896507,2978450,3709339,1278975,993728,735820,0,0,0,0
LOONA,818165,950580,827720,889568,520462,1762688,1468853,751670,963713,990423,676036
YOUNGJAE,0,1239975,271788,861660,1256647,1059448,843512,630959,1658360,2225627,432080
CRAVITY,1635556,1370949,1699885,1078620,563294,437027,563095,1103995,697450,812473,274602
B.I,0,0,924396,1067756,1916649,1817716,761192,293369,638694,1240776,620813
SUPER JUNIOR,501300,1164277,2050844,926125,525900,391038,525844,160591,348331,1211620,630073
YUGYEOM,0,841617,128421,285380,312286,3576970,860372,414437,902515,650144,421951
